"","time","author","title","link"
"1","2020-11-20 11:00:00","Portfolio","Ez a nagy Tesla rivális, vagy csak nagyobb a füstje, mint a lángja?","https://www.portfolio.hu/gazdasag/20201120/ez-a-nagy-tesla-rivalis-vagy-csak-nagyobb-a-fustje-mint-a-langja-458024"
"2","2020-11-20 09:47:00","Portfolio","Parragh: nagyon közel vagyunk a 4-5%-ra vágott társasági adókulcshoz","https://www.portfolio.hu/gazdasag/20201120/parragh-nagyon-kozel-vagyunk-a-4-5-ra-vagott-tarsasagi-adokulcshoz-458302"
"3","2020-11-18 17:14:00","Portfolio","Soros György alapja megszabadulna összes Palantir részvényétõl","https://www.portfolio.hu/uzlet/20201118/soros-gyorgy-alapja-megszabadulna-osszes-palantir-reszvenyetol-458062"
"4","2020-11-18 09:11:00","Portfolio","Koronavírus: itt a szerda reggeli magyar adat, új csúcson a kórházi ápoltak száma","https://www.portfolio.hu/gazdasag/20201118/koronavirus-itt-a-szerda-reggeli-magyar-adat-uj-csucson-a-korhazi-apoltak-szama-457954"
"5","2020-11-12 12:12:00","Portfolio","Vissza akarják kapni a pénzüket a kisbefektetõk az év egyik legjobban várt tõzsdei bevezetése után","https://www.portfolio.hu/uzlet/20201112/vissza-akarjak-kapni-a-penzuket-a-kisbefektetok-az-ev-egyik-legjobban-vart-tozsdei-bevezetese-utan-457174"
"6","2020-11-11 11:27:00","Portfolio","A villamoshálózatokba is beköltözik a mesterséges intelligencia - Már el is kezdõdött a folyamat","https://www.portfolio.hu/gazdasag/20201111/a-villamoshalozatokba-is-bekoltozik-a-mesterseges-intelligencia-mar-el-is-kezdodott-a-folyamat-456956"
"7","2020-11-10 16:22:00","Portfolio","Megszólalt a guru: itt a két jelzés, amik mentén folytatódhat a rali a tõzsdéken","https://www.portfolio.hu/uzlet/20201110/megszolalt-a-guru-itt-a-ket-jelzes-amik-menten-folytatodhat-a-rali-a-tozsdeken-456816"
"8","2020-11-10 16:08:00","Portfolio","Beleszállt az Európai Bizottság az Amazonba","https://www.portfolio.hu/uzlet/20201110/beleszallt-az-europai-bizottsag-az-amazonba-456822"
"9","2020-11-08 10:00:00","Portfolio","Erdõfelméréstõl a városmodellezésig: debreceni céget hívnak a feltérképezéshez","https://www.portfolio.hu/uzlet/20201108/erdofelmerestol-a-varosmodellezesig-debreceni-ceget-hivnak-a-felterkepezeshez-456312"
"10","2020-11-05 15:15:00","Mohos Kristóf","Három fontos szavazás volt az Egyesült Államokban - Mutatjuk, mi az, amibe érdemes fektetni","https://www.portfolio.hu/uzlet/20201105/harom-fontos-szavazas-volt-az-egyesult-allamokban-mutatjuk-mi-az-amibe-erdemes-fektetni-456074"
"11","2020-11-04 08:58:00","Portfolio","Trump nagyot fog nyerni - Ez a cég neve, ami most nagyot megy a tõzsdén","https://www.portfolio.hu/uzlet/20201104/trump-nagyot-fog-nyerni-ez-a-ceg-neve-ami-most-nagyot-megy-a-tozsden-455826"
"12","2020-11-03 07:30:00","Portfolio","Trump vagy Biden? Milyen befektetések lesznek a nyerõk?","https://www.portfolio.hu/befektetes/20201103/trump-vagy-biden-milyen-befektetesek-lesznek-a-nyerok-455502"
"13","2020-11-02 09:53:00","Portfolio","Nincs megállás, tovább zuhan az olajár","https://www.portfolio.hu/uzlet/20201102/nincs-megallas-tovabb-zuhan-az-olajar-455428"
"14","2020-10-30 08:16:00","Portfolio","Új információ a következõ hazai részvénykibocsátásról","https://www.portfolio.hu/uzlet/20201030/uj-informacio-a-kovetkezo-hazai-reszvenykibocsatasrol-455082"
"15","2020-10-28 06:30:00","Portfolio","Európai Mastercard-központ lett Budapest, Magyarország a követendõ példa külföldön","https://www.portfolio.hu/bank/20201028/europai-mastercard-kozpont-lett-budapest-magyarorszag-a-kovetendo-pelda-kulfoldon-454092"
"16","2020-10-26 12:56:00","Portfolio","Elolvadt az olajtársaságok nyeresége, de a befektetõket már csak a túlélés izgatja","https://www.portfolio.hu/gazdasag/20201026/elolvadt-az-olajtarsasagok-nyeresege-de-a-befektetoket-mar-csak-a-tuleles-izgatja-454452"
"17","2020-10-25 17:00:00","Szemán Ákos","A napenergia a jövõ sztárja, még nem késõ befektetni, mutatjuk az izgalmas lehetõségeket","https://www.portfolio.hu/gazdasag/20201025/a-napenergia-a-jovo-sztarja-meg-nem-keso-befektetni-mutatjuk-az-izgalmas-lehetosegeket-454226"
"18","2020-10-21 14:52:00","Portfolio","Deutsche Bank: esni fognak a tõzsdék a következõ évben","https://www.portfolio.hu/uzlet/20201021/deutsche-bank-esni-fognak-a-tozsdek-a-kovetkezo-evben-453900"
