name,points,division,age,w_l_d,stance,residence,rank,stars,last6,last5,last4,last3,last2,last1,lagged
Saul Alvarez*,1545,middle,30,53 1 2,orthodox,"Guadalajara, Mexico",1,5,W,D,W,W,W,W,NA
Tyson Fury,1032,heavy,32,30 0 1,orthodox,"Wilmslow, United Kingdom",2,5,W,W,D,W,W,W,1
Errol Spence Jr,696.9,welter,30,27 0 0,southpaw,"Desoto, USA",3,5,W,W,W,W,W,W,2
Terence Crawford,658.7,welter,33,37 0 0,southpaw,"Omaha, USA",4,5,W,W,W,W,W,W,3
Gennadiy Golovkin*,636.7,middle,38,40 1 1,orthodox,"Los Angeles, USA",5,5,W,D,W,L,W,W,4
Deontay Wilder,612.4,heavy,35,42 1 1,orthodox,"Tuscaloosa, USA",6,5,W,W,D,W,W,L,5
Anthony Joshua,564.6,heavy,31,24 1 0,orthodox,"Watford, United Kingdom",7,5,W,W,W,L,W,W,6
Manny Pacquiao,507.9,welter,41,62 7 2,southpaw,"General Santos City, Philippines",8,5,W,W,L,W,W,W,7
Alexander Povetkin,349.7,heavy,41,36 2 1,orthodox,"Chekhov, Russia",9,5,W,W,L,W,D,W,8
Teofimo Lopez,331.7,light,23,16 0 0,orthodox,"Jonesboro, USA",10,5,W,W,W,W,W,W,9
Keith Thurman,318.1,welter,32,29 1 0,orthodox,"Clearwater, USA",11,5,W,W,W,W,W,L,10
Sergey Kovalev,314.5,light heavy,37,34 4 1,orthodox,"Fort Lauderdale, USA",12,5,W,W,L,W,W,L,11
Callum Smith*,313.3,super middle,30,27 0 0,orthodox,"Liverpool, United Kingdom",13,5,W,W,W,W,W,W,12
Mairis Briedis,298.3,cruiser,35,27 1 0,orthodox,"Riga, Latvia",14,5,W,L,W,W,W,W,13
Jermall Charlo,279.4,middle,30,31 0 0,orthodox,"Houston, USA",15,5,W,W,W,W,W,W,14
Dmitry Bivol,273.3,light heavy,29,17 0 0,orthodox,"Saint Petersburg, Russia",16,5,W,W,W,W,W,W,15
Mikey Garcia,270.8,welter,32,40 1 0,orthodox,"Moreno Valley, USA",17,5,W,W,W,W,L,W,16
Shawn Porter,269.8,welter,33,31 3 1,orthodox,"Las Vegas, USA",18,5,W,W,W,W,L,W,17
Artur Beterbiev,264.2,light heavy,35,15 0 0,orthodox,"Montreal, Canada",19,5,W,W,W,W,W,W,18
Oleksandr Usyk,249.4,heavy,33,18 0 0,southpaw,"Kiev, Ukraine",20,5,W,W,W,W,W,W,19
Gervonta Davis,241.1,light,26,24 0 0,southpaw,"Baltimore, USA",21,5,W,W,W,W,W,W,20
Naoya Inoue,226.6,bantam,27,20 0 0,orthodox,"Yokohama, Japan",22,5,W,W,W,W,W,W,21
Jose Carlos Ramirez,223.1,super light,28,26 0 0,orthodox,"Avenal, USA",23,5,W,W,W,W,W,W,22
Andy Ruiz Jr,217.2,heavy,31,33 2 0,orthodox,"Imperial, USA",24,5,L,W,W,W,W,L,23
Josh Warrington,216.8,feather,30,30 0 0,orthodox,"Leeds, United Kingdom",25,5,W,W,W,W,W,W,24
Miguel Berchelt,214.4,super feather,29,37 1 0,orthodox,"Merida, Mexico",26,5,W,W,W,W,W,NC,25
Vasyl Lomachenko,212.2,light,32,14 2 0,southpaw,"Oxnard, USA",27,5,W,W,W,W,W,L,26
Jermell Charlo,194.5,super welter,30,34 1 0,orthodox,"Houston, USA",28,5,W,W,L,W,W,W,27
Jose Zepeda,191.1,super light,31,33 2 0,southpaw,"La Puente, USA",29,5,W,L,NC,W,W,W,28
Yordenis Ugas,188.0,welter,34,26 4 0,orthodox,"Miami, USA",30,5,W,W,L,W,W,W,29
Josh Taylor,185.2,super light,29,17 0 0,southpaw,"Prestonpans, United Kingdom",31,5,W,W,W,W,W,W,30
Regis Prograis,172.0,super light,31,25 1 0,southpaw,"Houston, USA",32,5,W,W,W,W,L,W,31
Joe Smith Jr*,170.7,light heavy,31,26 3 0,orthodox,"Long Island, USA",33,5,W,L,W,L,W,W,32
Chris Eubank Jr,162.5,middle,31,29 2 0,orthodox,"Brighton, United Kingdom",34,5,W,W,L,W,W,W,33
Demetrius Andrade,160.2,middle,32,29 0 0,southpaw,"Providence, USA",35,5,W,W,W,W,W,W,34
Gilberto Ramirez*,143.9,light heavy,29,40 0 0,southpaw,"Mazatlan, Mexico",36,5,W,W,W,W,W,W,35
Jesse Hart,142.6,light heavy,31,26 3 0,orthodox,"Philadelphia, USA",37,5,W,W,W,L,W,L,36
Rey Vargas,142.0,super bantam,30,34 0 0,orthodox,"Otumba, Mexico",38,5,W,W,W,W,W,W,37
Emanuel Navarrete,139.4,feather,25,32 1 0,orthodox,"San Juan Zitlaltepec, Mexico",39,5,W,W,W,W,NC,W,38
Michael Hunter*,139.3,heavy,32,18 1 1,orthodox,"Las Vegas, USA",40,5,W,W,W,W,W,D,39
Danny Garcia,133.9,welter,32,36 3 0,orthodox,"Philadelphia, USA",41,5,L,W,L,W,W,L,40
Jaime Munguia,132.0,middle,24,36 0 0,orthodox,"Tijuana, Mexico",42,5,W,W,W,W,W,W,41
Gary Allen Russell Jr,126.9,feather,32,31 1 0,southpaw,"Capitol Heights, USA",43,5,W,W,W,W,W,W,42
Dillian Whyte,117.3,heavy,32,27 2 0,orthodox,"Brixton, United Kingdom",44,5,W,W,W,W,W,L,43
Krzysztof Glowacki,116.7,cruiser,34,31 2 0,southpaw,"Walcz, Poland",45,5,W,W,W,W,W,L,44
Jean Pascal,116.1,light heavy,38,35 6 1,orthodox,"Laval, Canada",46,5,L,W,W,L,W,W,45
Ilunga Junior Makabu*,115.6,cruiser,33,27 2 0,southpaw,"Johannesburg, South Africa",47,5,W,W,W,W,W,W,46
